title,rating
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5
Black Dust,5
Chase Me (Paris Nights #2),5
Join,5
Princess Between Worlds (Wide-Awake Princess #5),5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5
Private Paris (Private #10),5
Rip it Up and Start Again,5
Sapiens: A Brief History of Humankind,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5
Set Me Free,5
Sophie's World,5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5
The Elephant Tree,5
The Four Agreements: A Practical Guide to Personal Freedom,5
